current_ratio,debt_to_equity,roa,roe,gross_margin,operating_margin,interest_coverage,asset_turnover,revenue_growth,cash_ratio,altman_z_score,mda_sentiment,news_sentiment,days_payable_outstanding,liquidity_stress,profit_score,leverage_danger,combined_sentiment,growth_profit_gap,efficiency,sector_encoded,year,distressed,company,sector
2.35,1.48,0.0959,0.0463,0.3352,0.154,3.84,0.58,0.0105,0.2408,2.89,-0.037,-0.168,71.2,0.5658799999999999,0.12495,0.3844155844155844,-0.1025,-0.1435,0.1944159999999999,6,2021,0,AlphaCorp,Technology
1.63,2.39,0.029,0.1106,0.3354,0.0888,5.03,0.75,0.1562,0.5813,2.16,0.131,-0.197,56.0,0.947519,0.0589,0.4742063492063492,-0.033,0.0674,0.25155,1,2020,1,BetaInc,Finance
1.17,3.37,-0.1745,0.0042,0.2174,-0.1271,2.03,0.48,-0.0275,0.3142,1.57,0.02,0.016,76.0,0.3676139999999999,-0.1508,1.6519607843137258,0.018,0.0996,0.104352,5,2021,1,GammaTech,Retail
2.08,3.35,-0.0989,0.0928,0.1349,0.1754,4.31,1.11,-0.0425,0.3789,1.62,-0.028,0.006,74.7,0.788112,0.03825,0.7754629629629631,-0.011,-0.2179,0.149739,3,2018,0,DeltaFin,Manufacturing
1.95,2.03,-0.0185,0.1278,0.3771,0.0375,7.37,0.95,0.1528,0.231,2.11,-0.037,-0.263,65.6,0.45045,0.0095,0.2750677506775068,-0.15,0.1152999999999999,0.358245,0,2022,0,EpsilonMfg,Energy
1.74,1.37,-0.053,0.1718,0.3391,-0.0695,4.09,0.67,0.0453,0.2665,1.93,0.033,0.118,59.7,0.46371,-0.06125,0.3341463414634147,0.0755,0.1148,0.227197,2,2020,1,ZetaRetail,Healthcare
2.15,1.95,0.0286,0.1473,0.3923,0.2577,7.33,0.93,0.1373,0.7018,2.98,0.097,0.314,59.4,1.50887,0.14315,0.2656675749318801,0.2055,-0.1203999999999999,0.364839,4,2020,0,EtaEnergy,Real Estate
2.01,1.41,0.2311,0.1896,0.3574,0.133,9.03,1.19,0.1275,0.5252,3.24,0.286,0.393,32.2,1.0556519999999998,0.18205,0.1559734513274336,0.3395,-0.0055,0.4253059999999999,7,2020,0,ThetaMedia,Transportation
2.43,1.65,-0.0449,-0.2312,0.2775,0.1019,6.06,0.84,-0.0819,0.4869,2.81,0.163,-0.317,86.3,1.183167,0.0285,0.271828665568369,-0.077,-0.1838,0.2331,6,2020,0,IotaBank,Technology
1.82,3.18,-0.0071,-0.1527,0.4709,0.0943,2.03,0.82,0.0525,0.3803,1.89,0.051,0.405,85.4,0.692146,0.0436,1.5588235294117652,0.228,-0.0418,0.386138,1,2022,1,KappaPharm,Finance
1.97,1.49,0.1056,0.0325,0.416,0.161,6.04,1.15,0.166,0.5834,3.45,-0.079,-0.031,55.5,1.1492980000000002,0.1333,0.2462809917355372,-0.055,0.005,0.4783999999999999,5,2021,0,LambdaAuto,Retail
1.3,3.31,0.0917,-0.1092,0.2009,-0.0207,3.7,0.96,-0.2595,0.3223,1.29,0.054,-0.097,80.0,0.41899,0.0355,0.8921832884097035,-0.0215,-0.2388,0.1928639999999999,3,2018,1,MuConsult,Manufacturing
